V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,V_15,V_16,V_17,V_18,V_19,V_20,V_21,V_22,V_23,V_24,V_25,V_26,V_27,V_28,V_29,V_30,V_31,V_32,V_33,V_34,V_35,V_36,V_37,V_38,V_39,V_40,V_41,V_42,TargetVariable
5.573876501,1.530744423,41.9565277,28.5517235,69.62917,38.397747,59.30834,8498.081,27.1125488,369.705048,55.3940659,1168.24365,24.1,24.0594349,1.03990209,26.6071968,73.45312,56.09334,52.992672,67,258.979736,32.12079,12.9571886,520,31.9376678,183.7973,373.511017,373.9742,75,128.4825,25,1.039836,2822.69263,8471.071,290.677979,266.828156,3335.32129,3329.3606,11.3557129,2608.606,1700.789,7.213682,716.5833333
5.142337817,1.525431419,41.9165344,28.95377,69.26593,37.0453224,59.21253,8486.581,27.1455841,369.3195,55.31777,1148.43689,24.1,24.0730572,1.04037106,26.5524864,73.3513947,57.0667572,54.01851,67,261.766968,31.2527981,12.0207386,520,32.00007,182.901688,373.771454,373.47995,75,128.4825,25,1.03988647,2835.61084,8505.238,287.728241,263.469482,3257.63525,3393.04,11.1255341,2401.77661,1701.17346,6.83029652,698
3.95791871,1.516602264,42.1797523,28.311924,69.72896,37.2670364,59.1023941,8496.325,25.5326233,398.96524,55.3559151,1147.7804,24.0002518,24.06145,1.0451684,26.5996246,73.32437,57.07538,54.6714,66,261.480652,32.19569,5.753627,515,31.9087715,186.175232,373.7384,373.705536,75,139.5,25,1.044614,2828.29443,8505.788,293.15387,271.353668,3420.96582,3603.68335,11.4405746,2399.02344,1699.5155,7.77691841,717.6
3.904077039,1.49090239,42.06934,28.3454838,70.0290756,37.3527641,59.9446945,8593.459,25.5930786,400.025421,55.619133,1149.446,24,24.0623779,1.04449689,26.5881863,73.64004,56.7182655,53.7188339,66,261.389618,31.3491611,7.141094,515,31.8632622,183.9981,378.220917,378.112183,75,139.5,25,1.04581833,2860.87842,8627.704,290.7011,264.984131,3293.02734,3708.70337,11.3175583,2401.78979,1699.35632,6.859762,766.3333333
4.030703599,1.544552826,41.99283,30.27543,68.22985,39.36972,58.1671181,8309.41,19.8365917,390.7192,54.8599968,1149.288,23.9,23.954195,1.04545712,26.5511742,73.5093842,57.73021,52.7562752,64,257.8786,32.2176628,12.0529375,501.7,30.6629734,184.533157,365.5265,365.483765,75,128.4825,25,1.04412293,2756.78784,8324.404,290.853943,288.131836,2876.37939,3246.555,10.95784,2401.72241,1700.6123,7.326651,754.6666667
4.013745985,1.534045689,40.96666,28.1408024,67.74933,39.561245,58.6252937,8401.8,20.7374268,393.682129,0.4959182,1150.722,23.9,23.9640484,1.04172242,26.6526871,73.30053,57.8487778,53.69723,65,260.579254,30.8531361,14.49297,506,31.0488243,183.457825,370.290161,369.8212,75,128.4825,25,1.04503787,26.8600674,8411.45,291.851471,274.7612,3119.88232,3475.05981,5.46696472,2406.50024,1699.914,6.95526171,779.1
4.204874005,1.601755625,42.33234,33.8523,66.24427,41.3174438,56.8856773,8064.87744,16.926239,385.021149,53.8376427,1148.00476,23.9,23.8739262,1.04511,26.5836124,73.41497,58.99749,54.2415352,62,257.887939,33.3625526,16.25398,485,30.36914,182.899673,354.8075,355.5229,75,128.4825,25,1.04486561,2705.79932,8073.537,293.654968,327.37796,2437.24927,2711.415,9.676239,2409.14014,1699.41528,6.023164,739.4
4.217402657,1.557950233,42.7426453,30.3410625,68.19835,40.8733444,58.33259,8326.468,17.4987335,386.1333,55.1270332,1128.48059,23.9,23.8910046,1.04543161,26.5762768,73.60189,58.57681,53.1102,63,258.904144,32.31824,14.7399845,490,30.0694141,185.4269,366.464752,366.375244,75,128.4825,25,1.045375,2789.24048,8326.126,286.788483,285.550781,2847.07275,3216.39185,11.0391006,2407.06177,1700.13489,7.58211231,743.5
4.152404441,1.535655627,42.2179,28.3436928,69.2196655,40.2037926,58.72881,8420.531,19.2010918,388.928467,55.16518,1118.3634,23.9,23.9022846,1.04460263,26.6379261,73.42603,58.3864746,53.89181,64,259.5812,32.3304749,14.9770174,500,30.5442257,183.380081,370.5809,370.264038,75,128.4825,25,1.04468691,2820.64,8408.606,285.9668,260.4195,3154.09082,3536.722,10.5212631,2406.86353,1699.45862,7.00220442,767.4166667
4.159709166,1.528866968,42.1797523,28.50883,69.23781,40.29399,59.0090942,8459.211,20.4268188,391.248657,55.3940659,1119.233,23.9,23.9303,1.04443991,26.6025467,73.56374,57.2716179,53.4267,65,258.558,31.9644547,14.3110838,506,31.1153641,184.899292,372.281921,372.2092,75,128.4825,25,1.04475272,2819.492,8450.643,296.899719,266.884857,3179.308,3585.86548,11.1819992,2407.49561,1699.50745,7.44852,710.9166667
4.175737264,1.532592284,42.7519646,29.17369,69.08827,40.8700867,58.7802963,8408.089,20.3694458,390.3912,56.22568,1118.08838,23.9,23.9253139,1.04540586,26.6474419,73.3825455,57.7510452,53.4788055,65,259.0358,32.38524,11.2890739,506,31.0969048,185.799362,369.8991,370.200623,74,126.7694,26,1.04479182,2969.24976,8420.9,293.7128,265.530579,3181.02612,3583.64,11.926445,2413.295,1700.07959,7.65376663,714.5
5.585824353,1.543154594,42.5993729,29.402483,69.28264,41.90605,57.7827339,8367.055,20.706131,390.2166,56.22568,1116.75537,23.9,23.9538784,1.04455888,26.5701485,73.60189,57.45072,53.2355576,65,262.001556,31.1631317,13.1877136,506,30.9230137,185.6528,368.536133,367.568268,74,136.9,26,1.04571271,2905.98633,8331.91,301.847748,263.9486,3156.60522,3523.956,11.786705,2411.614,1699.91284,7.7270546,773.6
5.725921838,1.673049217,43.1296272,30.775116,67.57076,39.1086273,57.3099365,8130.98535,28.25879,404.5812,56.4813881,1033.288,23.9,23.9601154,1.04355109,26.4185467,73.56374,54.83615,52.64659,71,262.398315,35.089283,13.5947628,552.9,30.7648487,168.490952,359.839,358.621277,73,114.9166,27,1.042214,3019.989,8176.752,295.988678,275.057281,3056.98364,3410.409,11.08819,2407.416,1800.094,7.23052359,712.5
5.484266842,1.60008548,43.1296272,30.8603134,70.09908,38.085022,58.8697624,8359.359,31.7776489,414.210449,57.20118,1032.18933,23.9,23.989439,1.044625,25.5941124,73.64004,53.481472,53.0725441,73,259.4353,31.53057,10.3882208,568.9055,31.7195034,171.216217,372.354218,371.7823,73,114.9166,27,1.04493952,3109.57666,8457.531,296.89328,260.541931,3259.52319,3601.497,11.3958817,2412.822,1800.51379,7.8073554,734.9
